advice,cons,countHelpful,countNotHelpful,date,Date,employmentStatus,id,isAnonymousEmployee,isCurrentEmployee,isLegal,jobEndingYear,jobTitle,lengthOfEmployment,location,pros,ratings/0/rating,ratings/0/title,ratings/1/rating,ratings/1/title,ratings/2/rating,ratings/2/title,ratings/3/rating,ratings/3/title,ratings/4/rating,ratings/4/title,ratings/5/rating,ratings/5/title,ratings/6/rating,ratings/6/title,reviews/0/isOK,reviews/0/title,reviews/1/isOK,reviews/1/title,reviews/2/isOK,reviews/2/title,title,type,url
None,Plant out in the sticks,0,0,2023-04-30T05:55:26.650,2023-04-30,REGULAR,75974254,FALSE,FALSE,TRUE,2019,Shift Supervisor,0,"Danville, IL",Great people to work with,0,Work/Life Balance,4,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Was good work environment,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW75974254.htm
,Industry Long Hours Pay Con,0,0,2023-04-25T10:05:31.587,2023-04-25,REGULAR,75822861,FALSE,FALSE,TRUE,2022,Quality Assurance Engineer,0,"Westminster, CO",Environment People Benefits Work-Life Balance,0,Work/Life Balance,4,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,e,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW75822861.htm
,There was a lack of direction in the department.,0,0,2023-03-31T11:11:19.837,2023-03-31,REGULAR,75077361,FALSE,FALSE,TRUE,2023,Master Supply Planner,2,"Westminster, CO",Hybrid Work Schedule was nice to have to cut down on the cost of commuting.,4,Work/Life Balance,4,Overall,4,Culture & Values,4,Diversity & Inclusion,4,Senior Management,2,Career Opportunities,3,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,,Business Outlook,Good Company Overall,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW75077361.htm
Put people first in decision making.,"Difficult to earn bonus incentives in tight markets. You can work harder than ever for the less than the year before, if the company doesn’t perform.",0,0,2023-02-28T21:04:03.293,2023-02-28,REGULAR,74079814,FALSE,TRUE,TRUE,,Manager,20,"Westminster, CO","Values driven organization. Wonderful people, many long term employees",2,Work/Life Balance,4,Overall,5,Culture & Values,4,Diversity & Inclusion,3,Senior Management,3,Career Opportunities,4,Compensation and Benefits,TRUE,Recommend,,CEO Approval,TRUE,Business Outlook,Great people and culture,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW74079814.htm
,Unclear expectations of roles and responsibilities,0,0,2023-04-19T13:14:58.183,2023-04-19,REGULAR,75653681,FALSE,TRUE,TRUE,,Account Manager,6,"Broomfield, CO",Market leader and stable company,3,Work/Life Balance,3,Overall,3,Culture & Values,4,Diversity & Inclusion,3,Senior Management,3,Career Opportunities,3,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Solid,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW75653681.htm
"The wrong people are in the positions that need better people. The warehouse is new but the business is not, so it's curious when you hear the term 'start-up' being used, but then realize it's used as a broad-stroke paintbrush to excuse poor decisions and to blame employees for things out of their control.","Unorganized, high turnover, unqualified leads, pay disparity. There is a point system in place for things like early punches, late punches, bad punches etc... All of which take a year to go away and no way to get rid of them sooner. An otherwise great employee can be held back for something as small as an early/late punch.",0,0,2022-11-01T01:09:09.347,2022-11-01,REGULAR,70667563,FALSE,TRUE,TRUE,,Warehouser,1,"Pittston, PA",Overtime is always available. 3x12 shift alternating day/night shift every 6 weeks.,2,Work/Life Balance,1,Overall,2,Culture & Values,3,Diversity & Inclusion,2,Senior Management,2,Career Opportunities,2,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,"Not so great, a lot of work ahead.",review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW70667563.htm
,High turnover within the manufacturing industry.,0,0,2023-03-07T18:28:18.327,2023-03-07,REGULAR,74292970,FALSE,TRUE,TRUE,,Project Support Engineer,2,"Denver, CO","Challenging &amp; friendly environment, however, promotes good work life balance.",5,Work/Life Balance,5,Overall,5,Culture & Values,4,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,4,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Great starting role out of college...,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW74292970.htm
,Training Opportunities Communication across management,0,0,2023-03-10T23:54:33.283,2023-03-10,REGULAR,74409394,FALSE,TRUE,TRUE,,Manufacturing Process Engineer,2,"Kapolei, HI",Schedule Benefits Pension Yearly bonus,4,Work/Life Balance,4,Overall,4,Culture & Values,4,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,4,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,,Business Outlook,Great Company,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW74409394.htm
Better training,"Rotation shifts, poor training, really bad management",0,0,2022-07-02T09:51:09.213,2022-07-02,REGULAR,66219658,FALSE,FALSE,TRUE,2022,Mechanic Technician,4,"Middletown, NY","Good pay, lots of OT",1,Work/Life Balance,1,Overall,2,Culture & Values,2,Diversity & Inclusion,1,Senior Management,2,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,,Business Outlook,Bad management,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW66219658.htm
Schedule none rotating shifts,Rotates every month from day to night or viceversa,0,0,2022-04-04T19:43:44.913,2022-04-04,REGULAR,62272548,FALSE,FALSE,TRUE,2021,Machine Operator,4,"Goodyear, AZ","Good pay,good benefits.stocks,bonuses,retirement,schedule rotates and get 4 days off",0,Work/Life Balance,3,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Not shift rotation,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW62272548.htm
